"subject_age","subject_race","subject_sex","lng","lat","violation_type","prob"
34,"hispanic","male",-111.8656231,33.4076009,"distracted_driving",0.026
34,"hispanic","male",-111.8656231,33.4076009,"leaving_scene_of_an_accident_informing",0
34,"hispanic","male",-111.8656231,33.4076009,"reckless_driving",0.056
34,"hispanic","male",-111.8656231,33.4076009,"running_red_light_or_without_headlight",0.004
34,"hispanic","male",-111.8656231,33.4076009,"without_proper_documents_or_vehicle_defects",0.914
33,"hispanic","male",-111.856998,33.400346,"distracted_driving",0.002
33,"hispanic","male",-111.856998,33.400346,"leaving_scene_of_an_accident_informing",0
33,"hispanic","male",-111.856998,33.400346,"reckless_driving",0.006
33,"hispanic","male",-111.856998,33.400346,"running_red_light_or_without_headlight",0.02
33,"hispanic","male",-111.856998,33.400346,"without_proper_documents_or_vehicle_defects",0.972
27,"other","female",-111.8401819,33.3877911,"distracted_driving",0
27,"other","female",-111.8401819,33.3877911,"leaving_scene_of_an_accident_informing",0
27,"other","female",-111.8401819,33.3877911,"reckless_driving",0.002
27,"other","female",-111.8401819,33.3877911,"running_red_light_or_without_headlight",0.142
27,"other","female",-111.8401819,33.3877911,"without_proper_documents_or_vehicle_defects",0.856
24,"hispanic","male",-111.8551095,33.3931936,"distracted_driving",0.974
24,"hispanic","male",-111.8551095,33.3931936,"leaving_scene_of_an_accident_informing",0
24,"hispanic","male",-111.8551095,33.3931936,"reckless_driving",0
24,"hispanic","male",-111.8551095,33.3931936,"running_red_light_or_without_headlight",0.026
24,"hispanic","male",-111.8551095,33.3931936,"without_proper_documents_or_vehicle_defects",0
21,"black","male",-111.8617657,33.4007872,"distracted_driving",0
21,"black","male",-111.8617657,33.4007872,"leaving_scene_of_an_accident_informing",0
21,"black","male",-111.8617657,33.4007872,"reckless_driving",0.18
21,"black","male",-111.8617657,33.4007872,"running_red_light_or_without_headlight",0.094
21,"black","male",-111.8617657,33.4007872,"without_proper_documents_or_vehicle_defects",0.726
54,"hispanic","male",-111.8483738,33.4077419,"distracted_driving",0
54,"hispanic","male",-111.8483738,33.4077419,"leaving_scene_of_an_accident_informing",0.014
54,"hispanic","male",-111.8483738,33.4077419,"reckless_driving",0.27
54,"hispanic","male",-111.8483738,33.4077419,"running_red_light_or_without_headlight",0.014
54,"hispanic","male",-111.8483738,33.4077419,"without_proper_documents_or_vehicle_defects",0.702
40,"white","male",-111.8573045,33.3931589,"distracted_driving",0.926
40,"white","male",-111.8573045,33.3931589,"leaving_scene_of_an_accident_informing",0
40,"white","male",-111.8573045,33.3931589,"reckless_driving",0
40,"white","male",-111.8573045,33.3931589,"running_red_light_or_without_headlight",0
40,"white","male",-111.8573045,33.3931589,"without_proper_documents_or_vehicle_defects",0.074
28,"white","male",-111.841052,33.3848307,"distracted_driving",0
28,"white","male",-111.841052,33.3848307,"leaving_scene_of_an_accident_informing",0
28,"white","male",-111.841052,33.3848307,"reckless_driving",0
28,"white","male",-111.841052,33.3848307,"running_red_light_or_without_headlight",0.034
28,"white","male",-111.841052,33.3848307,"without_proper_documents_or_vehicle_defects",0.966
19,"hispanic","male",-111.8562177,33.4342806,"distracted_driving",0.006
19,"hispanic","male",-111.8562177,33.4342806,"leaving_scene_of_an_accident_informing",0
19,"hispanic","male",-111.8562177,33.4342806,"reckless_driving",0.186
19,"hispanic","male",-111.8562177,33.4342806,"running_red_light_or_without_headlight",0.002
19,"hispanic","male",-111.8562177,33.4342806,"without_proper_documents_or_vehicle_defects",0.806
50,"black","male",-111.8401593,33.3932471,"distracted_driving",0.998
50,"black","male",-111.8401593,33.3932471,"leaving_scene_of_an_accident_informing",0
50,"black","male",-111.8401593,33.3932471,"reckless_driving",0
50,"black","male",-111.8401593,33.3932471,"running_red_light_or_without_headlight",0
50,"black","male",-111.8401593,33.3932471,"without_proper_documents_or_vehicle_defects",0.002
27,"hispanic","female",-111.8566938,33.4076527,"distracted_driving",0
27,"hispanic","female",-111.8566938,33.4076527,"leaving_scene_of_an_accident_informing",0
27,"hispanic","female",-111.8566938,33.4076527,"reckless_driving",0.086
27,"hispanic","female",-111.8566938,33.4076527,"running_red_light_or_without_headlight",0
27,"hispanic","female",-111.8566938,33.4076527,"without_proper_documents_or_vehicle_defects",0.914
40,"white","female",-111.8401819,33.3877911,"distracted_driving",0
40,"white","female",-111.8401819,33.3877911,"leaving_scene_of_an_accident_informing",0.004
40,"white","female",-111.8401819,33.3877911,"reckless_driving",0.024
